date,date,symbol,position,reason,price,frais,fiat,coins,wallet,resultat,resultat%,tradeIs,walletAth,drawDown,drawDownPct
2022-09-08 11:00:00,2022-09-08 11:00:00,ETH/USDT,Sell,Sell Market Order,1635.99,2202.4107540930495,6254205.52117122,0.0,6254205.52117122,33991.81187216379,0.5464733763302476,Good,8683859.68709312,2429654.1659219004,0.2797896619095668
2022-09-09 02:00:00,2022-09-09 02:00:00,SOL/USDT,Buy,Buy Market Order,34.05,2188.971932409927,3126008.2746194047,91806.41041466681,6252016.549238809,,,,8683859.68709312,2431843.1378543107,0.28004173552789846
2022-09-09 09:00:00,2022-09-09 09:00:00,ETH/USDT,Buy,Buy Market Order,1694.85,2188.2057922335835,0.0,1843.124800912866,6249828.343446575,,,,8683859.68709312,2434031.343646545,0.2802937209204638
2022-09-09 20:00:00,2022-09-09 20:00:00,ETH/USDT,Sell,Sell Market Order,1720.97,2220.3737420389107,3169742.1148849763,0.0,6295750.3895043805,45922.04605780542,0.7347729174987272,Good,8683859.68709312,2388109.2975887395,0.27500551409624946
2022-09-10 01:00:00,2022-09-10 01:00:00,SOL/USDT,Sell,Sell Market Order,34.75,2233.1909333367703,6357781.685861311,0.0,6357781.685861311,62031.2963569304,0.9852883694426939,Good,8683859.68709312,2326078.001231809,0.2678622277475389
2022-09-10 19:00:00,2022-09-10 19:00:00,SOL/USDT,Buy,Buy Market Order,34.92,2225.223590051459,3177778.2311356296,91001.66755829408,6355556.462271259,,,,8683859.68709312,2328303.224821861,0.2681184759678273
2022-09-10 23:00:00,2022-09-10 23:00:00,ETH/USDT,Buy,Buy Market Order,1774.12,2224.444761794941,0.0,1789.9317894921621,6353332.017509464,,,,8683859.68709312,2330527.669583656,0.26837463450123855
2022-09-11 07:00:00,2022-09-11 07:00:00,SOL/USDT,Sell,Sell Market Order,34.62,2205.3344116076987,3148272.396456533,0.0,6323826.182830367,-29505.834679096937,-0.46441512261251594,Bad,8683859.68709312,2360033.504262753,0.27177241333948393
2022-09-11 11:00:00,2022-09-11 11:00:00,ETH/USDT,Sell,Sell Market Order,1770.14,2217.900900496159,6314484.353407693,0.0,6314484.353407693,-9341.829422674142,-0.14772432310106165,Bad,8683859.68709312,2369375.333685427,0.27284818261251337
2022-09-11 12:00:00,2022-09-11 12:00:00,AVAX/USDT,Buy,Buy Market Order,20.43,2210.0695236926927,3156137.141942,154485.420555164,6312274.283884,,,,8683859.68709312,2371585.40320912,0.27310268574859903
2022-09-11 17:00:00,2022-09-11 17:00:00,SOL/USDT,Buy,Buy Market Order,35.31,2209.2959993594,0.0,89321.09447586068,6310064.987884641,,,,8683859.68709312,2373794.6992084794,0.273357099808587
2022-09-12 04:00:00,2022-09-12 04:00:00,AVAX/USDT,Sell,Sell Market Order,20.35,2200.6448158083113,3141577.6634817794,0.0,6295505.50942442,-14559.47846022062,-0.2307342077803476,Bad,8683859.68709312,2388354.1776687,0.2750337135477358
2022-09-12 04:00:00,2022-09-12 04:00:00,BTC/USDT,Buy,Buy Market Order,21715.19,2199.1043644372457,0.0,144.57062356430419,6293306.405059983,,,,8683859.68709312,2390553.282033137,0.2752869539781064
2022-09-12 05:00:00,2022-09-12 05:00:00,SOL/USDT,Sell,Sell Market Order,34.77,2173.9861184479732,3103520.468807228,0.0,6242899.02792457,-50407.37713541277,-0.8009681062864482,Bad,8683859.68709312,2440960.65916855,0.2810916743388388
2022-09-12 11:00:00,2022-09-12 11:00:00,XRP/USDT,Buy,Buy Market Order,0.3547,2172.4643281650597,0.0,8743580.503183149,6240726.563596405,,,,8683859.68709312,2443133.123496715,0.2813418470047323
2022-09-12 23:00:00,2022-09-12 23:00:00,BTC/USDT,Sell,Sell Market Order,22395.74,2266.436267888821,3235499.6607161416,0.0,6336847.665195204,96121.10159879923,1.5402229310846005,Good,8683859.68709312,2347012.0218979158,0.2702729093361902
2022-09-12 23:00:00,2022-09-12 23:00:00,SOL/USDT,Buy,Buy Market Order,37.44,2264.849762501299,0.0,86357.76738658229,6334582.815432704,,,,8683859.68709312,2349276.871660416,0.2705337207546274
2022-09-13 02:00:00,2022-09-13 02:00:00,SOL/USDT,Sell,Sell Market Order,37.9,2291.071568766028,3270668.3123827023,0.0,6372016.316861765,37433.501429061405,0.5909387014068734,Good,8683859.68709312,2311843.3702313546,0.2662230221968537
2022-09-13 02:00:00,2022-09-13 02:00:00,MATIC/USDT,Buy,Buy Market Order,0.9359,2289.4678186678916,0.0,3492230.841504471,6369726.849043097,,,,8683859.68709312,2314132.8380500227,0.26648666853628855
2022-09-13 05:00:00,2022-09-13 05:00:00,XRP/USDT,Sell,Sell Market Order,0.3554,2175.227957581904,3105293.2828737088,0.0,6373672.127437742,3945.27839464508,0.0619379525707231,Good,8683859.68709312,2310187.5596553776,0.2660323453969466
2022-09-13 07:00:00,2022-09-13 07:00:00,MATIC/USDT,Sell,Sell Market Order,0.93,2273.4422778194103,6350794.523195047,0.0,6350794.523195047,-22877.604242695495,-0.35893914505282787,Bad,8683859.68709312,2333065.163898073,0.2686668426213431
2022-09-17 08:00:00,2022-09-17 08:00:00,CHZ/USDT,Buy,Buy Market Order,0.2133,2222.7780831182663,3174285.872555964,14881790.307341605,6348571.745111928,,,,8683859.68709312,2335287.9419811917,0.2689228092264257
2022-09-17 11:00:00,2022-09-17 11:00:00,CHZ/USDT,Sell,Sell Market Order,0.2151,2240.751166576426,6373118.216498567,0.0,6373118.216498567,24546.47138663847,0.38664556962024754,Good,8683859.68709312,2310741.4705945533,0.26609613165779544
2022-09-17 19:00:00,2022-09-17 19:00:00,XRP/USDT,Buy,Buy Market Order,0.3726,2230.5913757744984,3185443.812561396,8549231.91777079,6370887.625122792,,,,8683859.68709312,2312972.061970328,0.26635299801171525
2022-09-18 02:00:00,2022-09-18 02:00:00,CHZ/USDT,Buy,Buy Market Order,0.2246,2229.810668792977,0.0,14172813.899788972,6368657.814453999,,,,8683859.68709312,2315201.8726391215,0.2666097744624112
